PLAYER\DEALER;A;10;9;8;7;6;5;4;3;2
A-A;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
10-10;S;S;S;S;S;S;S;S;S;S
9-9;S;S;SP;SP;S;SP;SP;SP;SP;SP
8-8;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
7-7;H;H;H;H;SP;SP;SP;SP;SP;SP
6-6;H;H;H;H;H;H;H;H;H;H
5-5;H;H;H;H;H;H;H;H;H;H
4-4;H;H;H;H;H;SP;SP;H;H;H
3-3;H;H;H;H;SP;SP;SP;SP;SP;SP
2-2;H;H;H;H;SP;SP;SP;SP;SP;SP
17+;S;S;S;S;S;S;S;S;S;S
16;H;H;H;H;H;S;S;S;S;S
15;H;H;H;H;H;S;S;S;S;S
14;H;H;H;H;H;S;S;S;S;S
13;H;H;H;H;H;S;S;S;S;S
12;H;H;H;H;H;S;S;S;H;H
11;H;H;H;H;H;H;H;H;H;H
10;H;H;H;H;H;H;H;H;H;H
9;H;H;H;H;H;H;H;H;H;H
8-;H;H;H;H;H;H;H;H;H;H
A-9;S;S;S;S;S;H;H;H;H;H
A-8;S;S;S;S;S;H;H;H;H;H
A-7;H;H;H;S;S;H;H;H;H;H
A-6;H;H;H;H;H;H;H;H;H;H
A-5;H;H;H;H;H;H;H;H;H;H
A-4;H;H;H;H;H;H;H;H;H;H
A-3;H;H;H;H;H;H;H;H;H;H
A-2;H;H;H;H;H;H;H;H;H;H
